,Name,Linea,Lon,Lat,UTM
332,Cno Ronda 82,U3,-3.60632899995,37.171027794699995,"(446172.0279226393, 4114017.4020954794)"
333,Cno Ronda 82,SN1,-3.60632899995,37.171027794699995,"(446172.0279226393, 4114017.4020954794)"
334,Cno Ronda 82,SN2,-3.60632899995,37.171027794699995,"(446172.0279226393, 4114017.4020954794)"
335,Cno Ronda 82,SN3,-3.60632899995,37.171027794699995,"(446172.0279226393, 4114017.4020954794)"
336,Cno Ronda 82,SN4,-3.60632899995,37.171027794699995,"(446172.0279226393, 4114017.4020954794)"
337,Cno Ronda 82,SN5,-3.60632899995,37.171027794699995,"(446172.0279226393, 4114017.4020954794)"
338,Cno Viejo del Fargue - Cruce Abadia,N8,-3.57293336255,37.196721402899996,"(449154.04173645284, 4116849.369893341)"
339,Cno Viejo del Fargue - Cruce Abadia,N8,-3.5715374168699996,37.1968903885,"(449278.0415172197, 4116867.3688501497)"
340,Cno Viejo del Fargue - Subestacion Endesa 1,N8,-3.57673221203,37.1969283437,"(448817.0429222089, 4116874.3725108984)"
341,Cno Viejo del Fargue - Subestacion Endesa 2,N8,-3.5767335131499998,37.197099602899996,"(448817.04307349405, 4116893.372447725)"
342,Cno Viejo del Fargue -Fte69,N8,-3.5819073869499998,37.1944061975,"(448356.0420636234, 4116597.377008227)"
343,Cno Viejo del Fargue 21,N8,-3.5889585247199993,37.1897472265,"(447727.0398193231, 4116084.3835446425)"
344,Cno Viejo del Fargue 63,N8,-3.5880107223000004,37.1910229,"(447812.0406928692, 4116225.382449769)"
345,Cno Viejo del Fargue 69,N8,-3.5822012996199994,37.194530951,"(448330.0422515385, 4116611.3771661934)"
346,Cno Viejo del Fargue Fte 63,N8,-3.58788916262,37.1913299779,"(447823.0409318145, 4116259.3822628716)"
347,Cno de Beas 25,C2,-3.57208850866,37.181798309899996,"(449219.02835155366, 4115193.3743130914)"
348,Cno de Beas 27,C2,-3.56981191122,37.1816740558,"(449421.02763939573, 4115178.3727559918)"
349,Cno de Beas 27,C2,-3.56977994111,37.1819175874,"(449424.0278458856, 4115205.3726458135)"
350,Cno de Beas 28,C2,-3.56708215416,37.1812093924,"(449663.0265076329, 4115125.3709767284)"
351,Cno de Beas 46,C2,-3.56460769933,37.1817440062,"(449883.0263250178, 4115183.3690552297)"
352,Cno de Beas Fte 25,C2,-3.5721794455599998,37.1819060394,"(449211.02847014664, 4115205.374340749)"
353,Cno de Beas Fte 28,C2,-3.56713996069,37.1814074242,"(449658.0266980615, 4115147.3709489834)"
354,Cno de Ronda - Alcazar del Genil,NOCTURNA,-3.6022086927900006,37.1642161594,"(446533.02083143697, 4113259.40149095)"
355,Cno de Ronda - Alcazar del Genil,U3,-3.6022086927900006,37.1642161594,"(446533.02083143697, 4113259.40149095)"
356,Cno de Ronda - Alcazar del Genil,SN1,-3.6022086927900006,37.1642161594,"(446533.02083143697, 4113259.40149095)"
357,Cno de Ronda - Alcazar del Genil,SN2,-3.6022086927900006,37.1642161594,"(446533.02083143697, 4113259.40149095)"
358,Cno de Ronda - Alcazar del Genil,SN3,-3.6022086927900006,37.1642161594,"(446533.02083143697, 4113259.40149095)"
